#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_007795.1	517	1878	+	3919798	dnaA	SAOUHSC_00001	YP_498609.1	453	-	chromosomal replication initiation protein
chr	NC_007795.1	2156	3289	+	3919799	-	SAOUHSC_00002	YP_498610.1	377	-	DNA polymerase III subunit beta
chr	NC_007795.1	3670	3915	+	3919176	-	SAOUHSC_00003	YP_498611.1	81	-	hypothetical protein SAOUHSC_00003
chr	NC_007795.1	3912	5024	+	3919177	recF	SAOUHSC_00004	YP_498612.1	370	-	recombination protein F
chr	NC_007795.1	5034	6968	+	3919178	-	SAOUHSC_00005	YP_498613.1	644	-	DNA gyrase subunit B
chr	NC_007795.1	7005	9668	+	3919179	-	SAOUHSC_00006	YP_498614.1	887	-	DNA gyrase subunit A
chr	NC_007795.1	9755	10456	-	3919180	-	SAOUHSC_00007	YP_498615.1	233	-	hypothetical protein SAOUHSC_00007
chr	NC_007795.1	10893	12407	+	3919181	-	SAOUHSC_00008	YP_498616.1	504	-	histidine ammonia-lyase
chr	NC_007795.1	12786	14072	+	3919182	-	SAOUHSC_00009	YP_498617.1	428	-	seryl-tRNA synthetase
chr	NC_007795.1	14722	15417	+	3919183	-	SAOUHSC_00010	YP_498618.1	231	-	hypothetical protein SAOUHSC_00010
chr	NC_007795.1	15414	15743	+	3919184	-	SAOUHSC_00012	YP_498619.1	109	-	hypothetical protein SAOUHSC_00012
chr	NC_007795.1	16106	17074	+	3919185	-	SAOUHSC_00013	YP_498620.1	322	-	hypothetical protein SAOUHSC_00013
chr	NC_007795.1	17365	18303	+	3919186	-	SAOUHSC_00014	YP_498621.1	312	-	hypothetical protein SAOUHSC_00014
chr	NC_007795.1	18318	20285	+	3919187	-	SAOUHSC_00015	YP_498622.1	655	-	hypothetical protein SAOUHSC_00015
chr	NC_007795.1	20282	20734	+	3919188	rplI	SAOUHSC_00017	YP_498623.1	150	-	50S ribosomal protein L9
chr	NC_007795.1	20766	22166	+	3919189	-	SAOUHSC_00018	YP_498624.1	466	-	replicative DNA helicase
chr	NC_007795.1	22444	23727	+	3919190	-	SAOUHSC_00019	YP_498625.1	427	-	adenylosuccinate synthetase
chr	NC_007795.1	24931	25632	+	3919191	-	SAOUHSC_00020	YP_498626.1	233	-	two-component response regulator
chr	NC_007795.1	25645	27471	+	3919192	-	SAOUHSC_00021	YP_498627.1	608	-	sensory box histidine kinase VicK
chr	NC_007795.1	27515	28798	+	3919193	-	SAOUHSC_00022	YP_498628.1	427	-	hypothetical protein SAOUHSC_00022
chr	NC_007795.1	28799	29587	+	3919194	-	SAOUHSC_00023	YP_498629.1	262	-	hypothetical protein SAOUHSC_00023
chr	NC_007795.1	29977	30777	+	3919195	-	SAOUHSC_00024	YP_498630.1	266	-	hypothetical protein SAOUHSC_00024
chr	NC_007795.1	31005	33323	+	3919293	-	SAOUHSC_00025	YP_498631.1	772	-	hypothetical protein SAOUHSC_00025
chr	NC_007795.1	33555	34034	-	3919294	-	SAOUHSC_00026	YP_498632.1	159	-	hypothetical protein SAOUHSC_00026
chr	NC_007795.1	33691	34170	+	3919295	-	SAOUHSC_00027	YP_498633.1	159	-	rRNA large subunit methyltransferase
chr	NC_007795.1	34375	34509	-	3919296	-	SAOUHSC_00028	YP_498634.1	44	-	hypothetical protein SAOUHSC_00028
chr	NC_007795.1	34473	34565	+	3919297	-	SAOUHSC_00029	YP_498635.1	30	-	hypothetical protein SAOUHSC_00029
chr	NC_007795.1	34712	36457	+	3919298	-	SAOUHSC_00030	YP_498636.1	581	-	hypothetical protein SAOUHSC_00030
chr	NC_007795.1	36551	37003	-	3919299	-	SAOUHSC_00031	YP_498637.1	150	-	hypothetical protein SAOUHSC_00031, partial
chr	NC_007795.1	37019	37120	-	3919300	-	SAOUHSC_00032	YP_498638.1	33	-	hypothetical protein SAOUHSC_00032
chr	NC_007795.1	37218	37973	-	3919301	-	SAOUHSC_00033	YP_498639.1	251	-	hypothetical protein SAOUHSC_00033
chr	NC_007795.1	37973	38233	-	3919302	-	SAOUHSC_00034	YP_498640.1	86	-	hypothetical protein SAOUHSC_00034
chr	NC_007795.1	38370	39437	+	3919303	-	SAOUHSC_00035	YP_498641.1	355	-	hypothetical protein SAOUHSC_00035
chr	NC_007795.1	39468	40802	+	3919304	-	SAOUHSC_00036	YP_498642.1	444	-	hypothetical protein SAOUHSC_00036
chr	NC_007795.1	40821	42014	+	3919305	-	SAOUHSC_00037	YP_498643.1	397	-	hypothetical protein SAOUHSC_00037
chr	NC_007795.1	42281	42382	-	3919306	-	SAOUHSC_00038	YP_498644.1	33	-	hypothetical protein SAOUHSC_00038
chr	NC_007795.1	42681	43613	-	3919307	-	SAOUHSC_00039	YP_498645.1	310	-	hypothetical protein SAOUHSC_00039
chr	NC_007795.1	43976	44179	+	3919308	-	SAOUHSC_00040	YP_498646.1	67	-	hypothetical protein SAOUHSC_00040
chr	NC_007795.1	44228	44524	+	3919309	-	SAOUHSC_00041	YP_498647.1	98	-	hypothetical protein SAOUHSC_00041
chr	NC_007795.1	44596	45816	-	3919310	-	SAOUHSC_00042	YP_498648.1	406	-	hypothetical protein SAOUHSC_00042
chr	NC_007795.1	45809	46360	-	3919311	-	SAOUHSC_00043	YP_498649.1	183	-	hypothetical protein SAOUHSC_00043
chr	NC_007795.1	46473	47333	+	3919077	-	SAOUHSC_00044	YP_498650.1	286	-	hypothetical protein SAOUHSC_00044
chr	NC_007795.1	47689	48222	-	3919078	-	SAOUHSC_00045	YP_498651.1	177	-	hypothetical protein SAOUHSC_00045
chr	NC_007795.1	48313	49056	+	3919079	-	SAOUHSC_00046	YP_498652.1	247	-	hypothetical protein SAOUHSC_00046
chr	NC_007795.1	49490	50092	+	3919080	-	SAOUHSC_00047	YP_498653.1	200	-	hypothetical protein SAOUHSC_00047
chr	NC_007795.1	50359	53511	+	3919081	-	SAOUHSC_00049	YP_498654.1	1050	-	hypothetical protein SAOUHSC_00049
chr	NC_007795.1	53568	54050	+	3919082	-	SAOUHSC_00050	YP_498655.1	160	-	hypothetical protein SAOUHSC_00050
chr	NC_007795.1	54255	55241	+	3919083	-	SAOUHSC_00051	YP_498656.1	328	-	1-phosphatidylinositol phosphodiesterase
chr	NC_007795.1	55462	56232	+	3919084	-	SAOUHSC_00052	YP_498657.1	256	-	hypothetical protein SAOUHSC_00052
